Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
1500000.095,200,0.98,0.02,66.64676,112.1846,1.89E-09,1.93E-09
1500000.095,200,0.884,0.116,13.45384,184.56032,1.02E-09,1.77E-09
1500000.095,200,0.788,0.212,7.22952,192.56664,1.20E-09,1.98E-09
1500000.095,200,0.692,0.308,12.87418,182.1335,1.46E-09,2.63E-09
1500000.095,200,0.596,0.404,9.79152,187.8931,7.94E-10,1.77E-09
1500000.095,200,0.5,0.5,7.76736,191.24602,1.34E-09,1.82E-09
1500000.095,200,0.404,0.596,6.19396,192.17564,5.70E-10,2.10E-09
1500000.095,200,0.308,0.692,5.02932,193.91588,9.84E-10,1.71E-09
1500000.095,200,0.212,0.788,3.15878,196.10986,1.48E-11,1.95E-09
1500000.095,200,0.116,0.884,1.842,197.23556,1.30E-10,2.05E-09
1500000.095,200,0.02,0.98,0.27652,200.19302,1.26E-09,1.87E-09
1500000.095,220,0.98,0.02,85.89858,71.5835,3.40E-09,3.64E-09
1500000.095,220,0.884,0.116,24.82922,157.05246,2.15E-09,2.87E-09
1500000.095,220,0.788,0.212,13.01628,174.84516,2.00E-09,2.84E-09
1500000.095,220,0.692,0.308,8.13644,182.03586,2.17E-09,2.45E-09
1500000.095,220,0.596,0.404,7.54066,182.56736,3.34E-09,2.29E-09
1500000.095,220,0.5,0.5,6.47248,184.49606,2.51E-09,2.56E-09
1500000.095,220,0.404,0.596,5.05978,186.85892,1.30E-10,2.61E-09
1500000.095,220,0.308,0.692,3.51604,188.20406,1.21E-09,2.67E-09
1500000.095,220,0.212,0.788,2.24936,190.00164,2.50E-09,2.53E-09
1500000.095,220,0.116,0.884,1.16878,190.85106,8.33E-10,2.47E-09
1500000.095,220,0.02,0.98,0.17422,193.856,3.60E-09,2.61E-09
1500000.095,240,0.98,0.02,89.61244,39.1398,6.22E-09,5.94E-09
1500000.095,240,0.884,0.116,38.3363,123.63112,3.80E-09,4.51E-09
1500000.095,240,0.788,0.212,20.35882,151.84198,2.80E-09,3.60E-09
1500000.095,240,0.692,0.308,12.94846,163.4422,2.73E-09,3.58E-09
1500000.095,240,0.596,0.404,8.6163,171.81626,1.47E-09,3.26E-09
1500000.095,240,0.5,0.5,6.04664,176.26474,4.07E-09,3.31E-09
1500000.095,240,0.404,0.596,4.10532,180.04938,1.43E-09,3.28E-09
1500000.095,240,0.308,0.692,2.8878,182.00406,3.24E-09,3.19E-09
1500000.095,240,0.212,0.788,1.87028,183.41874,2.04E-09,3.33E-09
1500000.095,240,0.116,0.884,0.95514,186.02568,2.80E-10,2.75E-09
1500000.095,240,0.02,0.98,0.16362,187.00584,2.15E-09,2.63E-09
1500000.095,260,0.98,0.02,79.77254,20.37176,9.53E-09,1.03E-08
1500000.095,260,0.884,0.116,47.22198,89.06212,6.58E-09,6.31E-09
1500000.095,260,0.788,0.212,28.90006,122.48252,3.72E-09,4.73E-09
1500000.095,260,0.692,0.308,19.095,139.8711,3.80E-09,4.41E-09
1500000.095,260,0.596,0.404,12.71504,151.40834,4.21E-09,4.47E-09
1500000.095,260,0.5,0.5,8.75494,158.2912,2.97E-09,4.26E-09
1500000.095,260,0.404,0.596,6.16242,162.9771,2.24E-09,4.15E-09
1500000.095,260,0.308,0.692,4.10102,168.03014,1.31E-09,4.29E-09
1500000.095,260,0.212,0.788,2.45084,170.88334,3.85E-09,4.02E-09
1500000.095,260,0.116,0.884,1.23236,172.80868,6.05E-10,4.13E-09
1500000.095,260,0.02,0.98,0.19124,174.81526,1.91E-09,3.93E-09
1500000.095,280,0.98,0.02,65.76526,11.1892,1.52E-08,1.15E-08
1500000.095,280,0.884,0.116,48.516,57.06264,1.09E-08,7.65E-09
1500000.095,280,0.788,0.212,34.69284,88.86164,8.96E-09,6.08E-09
1500000.095,280,0.692,0.308,24.37752,110.83328,5.86E-09,7.12E-09
1500000.095,280,0.596,0.404,17.20762,125.3803,3.05E-09,6.26E-09
1500000.095,280,0.5,0.5,12.23732,136.01328,5.72E-09,6.37E-09
1500000.095,280,0.404,0.596,8.3155,143.76516,1.99E-09,6.17E-09
1500000.095,280,0.308,0.692,5.62448,149.38354,5.64E-09,5.71E-09
1500000.095,280,0.212,0.788,3.45766,153.88008,4.51E-09,5.27E-09
1500000.095,280,0.116,0.884,1.69306,158.38826,1.93E-09,5.35E-09
1500000.095,280,0.02,0.98,0.26396,160.75146,1.29E-09,5.20E-09
1500000.095,300,0.98,0.02,53.1464,6.50944,1.25E-08,7.70E-09
1500000.095,300,0.884,0.116,43.23514,34.77006,1.58E-08,1.13E-08
1500000.095,300,0.788,0.212,34.12198,59.82244,1.23E-08,1.44E-08
1500000.095,300,0.692,0.308,26.43164,80.21496,8.72E-09,9.12E-09
1500000.095,300,0.596,0.404,19.88082,96.36294,7.70E-09,8.84E-09
1500000.095,300,0.5,0.5,14.50914,109.39152,5.40E-09,8.17E-09
1500000.095,300,0.404,0.596,10.36934,119.52468,7.39E-09,7.20E-09
1500000.095,300,0.308,0.692,6.98594,127.47424,3.75E-09,7.17E-09
1500000.095,300,0.212,0.788,4.35244,133.60166,6.96E-09,7.63E-09
1500000.095,300,0.116,0.884,2.16462,139.1446,7.99E-09,8.66E-09
1500000.095,300,0.02,0.98,0.34444,143.65094,5.33E-09,5.78E-09
1500000.095,320,0.98,0.02,42.61374,3.95934,2.14E-08,9.81E-09
1500000.095,320,0.884,0.116,36.30004,22.33744,1.75E-08,1.93E-08
1500000.095,320,0.788,0.212,30.12892,39.25648,1.48E-08,1.13E-08
1500000.095,320,0.692,0.308,24.75042,54.84566,1.83E-08,1.08E-08
1500000.095,320,0.596,0.404,19.72706,68.88808,8.77E-09,1.07E-08
1500000.095,320,0.5,0.5,15.29404,81.23538,9.38E-09,1.02E-08
1500000.095,320,0.404,0.596,11.35168,92.32948,9.23E-09,1.04E-08
1500000.095,320,0.308,0.692,8.02662,101.34804,9.58E-09,9.50E-09
1500000.095,320,0.212,0.788,5.06052,108.98504,8.50E-09,8.90E-09
1500000.095,320,0.116,0.884,2.56694,116.3261,5.70E-09,8.41E-09
1500000.095,320,0.02,0.98,0.4083,121.91116,2.79E-08,8.28E-09
1500000.095,340,0.98,0.02,34.58818,2.6541,8.98E-09,2.56E-08
